,block_index,trial,trial_onset(s),stimulus_type,resp_key,rt(s),correct,is_omission,is_comission
53,1.0,53,91.2138324000407,Go,space,0.5157016997691244,Correct,False,False
54,1.0,54,92.2126005999744,Go,space,0.5331486000213772,Correct,False,False
55,1.0,55,93.211314199958,No_go,,0.0,Correct,False,False
56,1.0,56,94.21055750013328,Go,space,0.5169011000543833,Correct,False,False
57,1.0,57,95.2096700000111,Go,space,0.5334643998648971,Correct,False,False
58,1.0,58,96.20793280005456,Go,space,0.5176414998713881,Correct,False,False
59,1.0,59,97.20782670006156,No_go,,0.0,Correct,False,False
60,1.0,60,98.2067879999522,No_go,,0.0,Correct,False,False
61,1.0,61,99.20587050006723,Go,space,0.534056399948895,Correct,False,False
62,1.0,62,100.20455950009637,Go,space,0.5516983999405056,Correct,False,False
63,1.0,63,101.20430590002798,Go,space,0.5498140999116004,Correct,False,False
64,1.0,64,102.203060900094,Go,space,0.5670022000558674,Correct,False,False
65,1.0,65,103.20201630005612,Go,space,0.4841143998783082,Correct,False,False
66,1.0,66,104.20061790011825,Go,space,0.4179355001542717,Correct,False,False
67,1.0,67,105.20055570011029,Go,space,0.5498233998659998,Correct,False,False
68,1.0,68,106.19970809994264,Go,space,0.4850002001039684,Correct,False,False
69,1.0,69,107.19907029997556,Go,space,0.4829236001241952,Correct,False,False
70,1.0,70,108.1976876000408,Go,space,0.433917700080201,Correct,False,False
71,1.0,71,109.196831200039,Go,space,0.4693935001268983,Correct,False,False
72,1.0,72,110.19539669994263,Go,space,0.500064300140366,Correct,False,False
73,1.0,73,111.19500979990698,Go,space,0.4530681998003274,Correct,False,False
74,1.0,74,112.19674100005068,Go,space,0.4469298000913113,Correct,False,False
75,1.0,75,113.19233540003188,No_go,space,0.4205453000031411,Incorrect,False,True
76,1.0,76,114.19105940009467,Go,space,0.4179280998650938,Correct,False,False
77,1.0,77,115.1909803999588,Go,space,0.4347546000499278,Correct,False,False
78,1.0,78,116.19018370006232,No_go,,0.0,Correct,False,False
79,1.0,79,117.18882980011404,No_go,,0.0,Correct,False,False
80,1.0,80,118.18882629997096,Go,space,0.4838805999606848,Correct,False,False
81,1.0,81,119.18860900006256,No_go,,0.0,Correct,False,False
82,1.0,82,120.18635599990375,Go,space,0.5178141000214964,Correct,False,False
83,1.0,83,121.18579569994472,Go,space,0.5201223001349717,Correct,False,False
84,1.0,84,122.18476300011388,Go,space,0.5164932999759912,Correct,False,False
85,1.0,85,123.18413780000992,Go,space,0.4664358999580145,Correct,False,False
86,1.0,86,124.18292269995436,Go,space,0.4005994000472128,Correct,False,False
87,1.0,87,125.18167460011318,Go,space,0.3840788998641073,Correct,False,False
88,1.0,88,126.18145089992322,Go,space,0.4017255001235753,Correct,False,False
89,1.0,89,127.18001380003987,Go,space,0.4370207001920789,Correct,False,False
90,1.0,90,128.1793825000059,Go,space,0.4829172999598086,Correct,False,False
91,1.0,91,129.17847030004486,No_go,,0.0,Correct,False,False
92,1.0,92,130.1771199000068,Go,space,0.4671169999055564,Correct,False,False
93,1.0,93,131.1769059000071,Go,space,0.4659706000238657,Correct,False,False
94,1.0,94,132.17598269996233,Go,space,0.5164485999848694,Correct,False,False
95,1.0,95,133.1747358001303,Go,space,0.4834700000938028,Correct,False,False
96,1.0,96,134.17336739995517,Go,space,0.5340519000310451,Correct,False,False
97,1.0,97,135.17225129995495,Go,space,0.5178155000321567,Correct,False,False
98,1.0,98,136.17230869992636,No_go,,0.0,Correct,False,False
99,1.0,99,137.1708247999195,Go,space,0.5664941999129951,Correct,False,False
100,1.0,100,138.17014950001612,No_go,,0.0,Correct,False,False
101,1.0,101,139.16914010001346,Go,space,0.4833689001388848,Correct,False,False
102,1.0,102,140.16806520009413,Go,space,0.5000384000595659,Correct,False,False
103,1.0,103,141.16712050000206,Go,space,0.5157760998699814,Correct,False,False
104,1.0,104,142.16745790001005,Go,space,0.4835089000407606,Correct,False,False
105,1.0,105,143.16562280012295,Go,space,0.4658414998557418,Correct,False,False
106,1.0,106,144.1635871999897,Go,space,0.5343090000096709,Correct,False,False
107,1.0,107,145.1632006999571,No_go,,0.0,Correct,False,False
